"anthracite"	"aubergine"
"anthracite"	"aubergine"
"bronze"	"bruise"
"cat"	"cobalt"
"china"	"chive"
"copper"	"cucumber"
"algae"	"aloe"
"beetle"	"beet"
"fern"	"floral"
"asphalt"	"delft"
"eggplant"	"enamel"
"beryl"	"bluebell"
"bluebell"	"blueberry"
"bordeaux"	"cerise"
"bubblegum"	"butterscotch"
"amber"	"amethyst"
"azure"	"bluebell"
"BLACKJACK"	"BLUEBELL"
"BRONZE"	"BRUISE"
